Jurisdiction,Week Ending Date,State Abbreviation,Year,Week,Age Group,Number of Deaths,Time Period,Type,Suppress,
United States,1/23/16,US,2016,3,Under 25 years,1155,2015-2019,Predicted (weighted),,
United States,1/30/16,US,2016,4,25-44 years,2485,2015-2019,Predicted (weighted),,
United States,1/30/16,US,2016,4,45-64 years,10645,2015-2019,Predicted (weighted),,
United States,1/30/16,US,2016,4,65-74 years,10134,2015-2019,Predicted (weighted),,
United States,1/30/16,US,2016,4,75-84 years,13332,2015-2019,Predicted (weighted),,
United States,1/30/16,US,2016,4,85 years and older,17931,2015-2019,Predicted (weighted),,
United States,1/30/16,US,2016,4,Under 25 years,1191,2015-2019,Predicted (weighted),,
United States,2/6/16,US,2016,5,25-44 years,2514,2015-2019,Predicted (weighted),,
United States,2/6/16,US,2016,5,45-64 years,10714,2015-2019,Predicted (weighted),,
United States,2/6/16,US,2016,5,65-74 years,10026,2015-2019,Predicted (weighted),,
United States,2/6/16,US,2016,5,75-84 years,12999,2015-2019,Predicted (weighted),,
United States,2/6/16,US,2016,5,85 years and older,17544,2015-2019,Predicted (weighted),,
United States,2/6/16,US,2016,5,Under 25 years,1198,2015-2019,Predicted (weighted),,
United States,2/13/16,US,2016,6,25-44 years,2575,2015-2019,Predicted (weighted),,
United States,2/13/16,US,2016,6,45-64 years,10846,2015-2019,Predicted (weighted),,
United States,2/13/16,US,2016,6,65-74 years,10326,2015-2019,Predicted (weighted),,
United States,2/13/16,US,2016,6,75-84 years,13034,2015-2019,Predicted (weighted),,
United States,2/13/16,US,2016,6,85 years and older,17181,2015-2019,Predicted (weighted),,
United States,2/13/16,US,2016,6,Under 25 years,1260,2015-2019,Predicted (weighted),,
United States,2/20/16,US,2016,7,25-44 years,2585,2015-2019,Predicted (weighted),,
United States,2/20/16,US,2016,7,45-64 years,10796,2015-2019,Predicted (weighted),,
United States,2/20/16,US,2016,7,65-74 years,10358,2015-2019,Predicted (weighted),,
United States,2/20/16,US,2016,7,75-84 years,13187,2015-2019,Predicted (weighted),,
United States,2/20/16,US,2016,7,85 years and older,17675,2015-2019,Predicted (weighted),,
United States,2/20/16,US,2016,7,Under 25 years,1292,2015-2019,Predicted (weighted),,
United States,2/27/16,US,2016,8,25-44 years,2507,2015-2019,Predicted (weighted),,
United States,2/27/16,US,2016,8,45-64 years,10627,2015-2019,Predicted (weighted),,
United States,2/27/16,US,2016,8,65-74 years,10213,2015-2019,Predicted (weighted),,
United States,2/27/16,US,2016,8,75-84 years,12989,2015-2019,Predicted (weighted),,
United States,2/27/16,US,2016,8,85 years and older,17439,2015-2019,Predicted (weighted),,
United States,2/27/16,US,2016,8,Under 25 years,1219,2015-2019,Predicted (weighted),,
United States,3/5/16,US,2016,9,25-44 years,2555,2015-2019,Predicted (weighted),,
United States,3/5/16,US,2016,9,45-64 years,11073,2015-2019,Predicted (weighted),,
United States,3/5/16,US,2016,9,65-74 years,10401,2015-2019,Predicted (weighted),,
United States,3/5/16,US,2016,9,75-84 years,13065,2015-2019,Predicted (weighted),,
United States,3/5/16,US,2016,9,85 years and older,17673,2015-2019,Predicted (weighted),,
United States,3/5/16,US,2016,9,Under 25 years,1215,2015-2019,Predicted (weighted),,
United States,3/12/16,US,2016,10,25-44 years,2628,2015-2019,Predicted (weighted),,
United States,3/12/16,US,2016,10,45-64 years,11115,2015-2019,Predicted (weighted),,
United States,3/12/16,US,2016,10,65-74 years,10429,2015-2019,Predicted (weighted),,
United States,3/12/16,US,2016,10,75-84 years,13104,2015-2019,Predicted (weighted),,
United States,3/12/16,US,2016,10,85 years and older,17700,2015-2019,Predicted (weighted),,
United States,3/12/16,US,2016,10,Under 25 years,1267,2015-2019,Predicted (weighted),,
United States,3/19/16,US,2016,11,25-44 years,2590,2015-2019,Predicted (weighted),,
United States,3/19/16,US,2016,11,45-64 years,11018,2015-2019,Predicted (weighted),,
United States,3/19/16,US,2016,11,65-74 years,10048,2015-2019,Predicted (weighted),,
United States,3/19/16,US,2016,11,75-84 years,12542,2015-2019,Predicted (weighted),,
United States,3/19/16,US,2016,11,85 years and older,17080,2015-2019,Predicted (weighted),,
United States,3/19/16,US,2016,11,Under 25 years,1270,2015-2019,Predicted (weighted),,
United States,3/26/16,US,2016,12,25-44 years,2554,2015-2019,Predicted (weighted),,
United States,3/26/16,US,2016,12,45-64 years,10757,2015-2019,Predicted (weighted),,
United States,3/26/16,US,2016,12,65-74 years,10275,2015-2019,Predicted (weighted),,
United States,3/26/16,US,2016,12,75-84 years,12625,2015-2019,Predicted (weighted),,
United States,3/26/16,US,2016,12,85 years and older,17263,2015-2019,Predicted (weighted),,
United States,3/26/16,US,2016,12,Under 25 years,1298,2015-2019,Predicted (weighted),,
United States,4/2/16,US,2016,13,25-44 years,2534,2015-2019,Predicted (weighted),,
United States,4/2/16,US,2016,13,45-64 years,10665,2015-2019,Predicted (weighted),,
United States,4/2/16,US,2016,13,65-74 years,10201,2015-2019,Predicted (weighted),,
United States,4/2/16,US,2016,13,75-84 years,12603,2015-2019,Predicted (weighted),,
United States,4/2/16,US,2016,13,85 years and older,16729,2015-2019,Predicted (weighted),,
United States,4/2/16,US,2016,13,Under 25 years,1248,2015-2019,Predicted (weighted),,
United States,4/9/16,US,2016,14,25-44 years,2606,2015-2019,Predicted (weighted),,
United States,4/9/16,US,2016,14,45-64 years,10750,2015-2019,Predicted (weighted),,
United States,4/9/16,US,2016,14,65-74 years,10064,2015-2019,Predicted (weighted),,
United States,4/9/16,US,2016,14,75-84 years,12664,2015-2019,Predicted (weighted),,
United States,4/9/16,US,2016,14,85 years and older,16812,2015-2019,Predicted (weighted),,
United States,4/9/16,US,2016,14,Under 25 years,1274,2015-2019,Predicted (weighted),,
United States,4/16/16,US,2016,15,25-44 years,2577,2015-2019,Predicted (weighted),,
United States,4/16/16,US,2016,15,45-64 years,10607,2015-2019,Predicted (weighted),,
United States,4/16/16,US,2016,15,65-74 years,10167,2015-2019,Predicted (weighted),,
United States,4/16/16,US,2016,15,75-84 years,12291,2015-2019,Predicted (weighted),,
United States,4/16/16,US,2016,15,85 years and older,16741,2015-2019,Predicted (weighted),,
United States,4/16/16,US,2016,15,Under 25 years,1212,2015-2019,Predicted (weighted),,
United States,4/23/16,US,2016,16,25-44 years,2606,2015-2019,Predicted (weighted),,
United States,4/23/16,US,2016,16,45-64 years,10382,2015-2019,Predicted (weighted),,
United States,4/23/16,US,2016,16,65-74 years,9826,2015-2019,Predicted (weighted),,
United States,4/23/16,US,2016,16,75-84 years,12459,2015-2019,Predicted (weighted),,
United States,4/23/16,US,2016,16,85 years and older,16786,2015-2019,Predicted (weighted),,
United States,4/23/16,US,2016,16,Under 25 years,1203,2015-2019,Predicted (weighted),,
United States,4/30/16,US,2016,17,25-44 years,2365,2015-2019,Predicted (weighted),,
United States,4/30/16,US,2016,17,45-64 years,10057,2015-2019,Predicted (weighted),,
United States,4/30/16,US,2016,17,65-74 years,9682,2015-2019,Predicted (weighted),,
United States,4/30/16,US,2016,17,75-84 years,11917,2015-2019,Predicted (weighted),,
United States,4/30/16,US,2016,17,85 years and older,15912,2015-2019,Predicted (weighted),,
United States,4/30/16,US,2016,17,Under 25 years,1229,2015-2019,Predicted (weighted),,
United States,5/7/16,US,2016,18,25-44 years,2474,2015-2019,Predicted (weighted),,
United States,5/7/16,US,2016,18,45-64 years,10198,2015-2019,Predicted (weighted),,
United States,5/7/16,US,2016,18,65-74 years,9693,2015-2019,Predicted (weighted),,
United States,5/7/16,US,2016,18,75-84 years,11947,2015-2019,Predicted (weighted),,
United States,5/7/16,US,2016,18,85 years and older,15814,2015-2019,Predicted (weighted),,
United States,5/7/16,US,2016,18,Under 25 years,1247,2015-2019,Predicted (weighted),,
United States,5/14/16,US,2016,19,25-44 years,2607,2015-2019,Predicted (weighted),,
United States,5/14/16,US,2016,19,45-64 years,10118,2015-2019,Predicted (weighted),,
United States,5/14/16,US,2016,19,65-74 years,9471,2015-2019,Predicted (weighted),,
United States,5/14/16,US,2016,19,75-84 years,11793,2015-2019,Predicted (weighted),,
United States,5/14/16,US,2016,19,85 years and older,15847,2015-2019,Predicted (weighted),,
United States,5/14/16,US,2016,19,Under 25 years,1267,2015-2019,Predicted (weighted),,
United States,5/21/16,US,2016,20,25-44 years,2474,2015-2019,Predicted (weighted),,
United States,5/21/16,US,2016,20,45-64 years,10014,2015-2019,Predicted (weighted),,
United States,5/21/16,US,2016,20,65-74 years,9469,2015-2019,Predicted (weighted),,
United States,5/21/16,US,2016,20,75-84 years,11666,2015-2019,Predicted (weighted),,
United States,5/21/16,US,2016,20,85 years and older,15695,2015-2019,Predicted (weighted),,
United States,5/21/16,US,2016,20,Under 25 years,1236,2015-2019,Predicted (weighted),,
United States,5/28/16,US,2016,21,25-44 years,2607,2015-2019,Predicted (weighted),,
United States,5/28/16,US,2016,21,45-64 years,9893,2015-2019,Predicted (weighted),,
United States,5/28/16,US,2016,21,65-74 years,9422,2015-2019,Predicted (weighted),,
United States,5/28/16,US,2016,21,75-84 years,11756,2015-2019,Predicted (weighted),,
United States,5/28/16,US,2016,21,85 years and older,15615,2015-2019,Predicted (weighted),,
United States,5/28/16,US,2016,21,Under 25 years,1298,2015-2019,Predicted (weighted),,
United States,6/4/16,US,2016,22,25-44 years,2517,2015-2019,Predicted (weighted),,
United States,6/4/16,US,2016,22,45-64 years,10181,2015-2019,Predicted (weighted),,
United States,6/4/16,US,2016,22,65-74 years,9360,2015-2019,Predicted (weighted),,
United States,6/4/16,US,2016,22,75-84 years,11305,2015-2019,Predicted (weighted),,
United States,6/4/16,US,2016,22,85 years and older,15147,2015-2019,Predicted (weighted),,
United States,6/4/16,US,2016,22,Under 25 years,1307,2015-2019,Predicted (weighted),,
United States,6/11/16,US,2016,23,25-44 years,2639,2015-2019,Predicted (weighted),,
United States,6/11/16,US,2016,23,45-64 years,10003,2015-2019,Predicted (weighted),,
United States,6/11/16,US,2016,23,65-74 years,9486,2015-2019,Predicted (weighted),,
United States,6/11/16,US,2016,23,75-84 years,11457,2015-2019,Predicted (weighted),,
United States,6/11/16,US,2016,23,85 years and older,15127,2015-2019,Predicted (weighted),,
United States,6/11/16,US,2016,23,Under 25 years,1314,2015-2019,Predicted (weighted),,
United States,6/18/16,US,2016,24,25-44 years,2583,2015-2019,Predicted (weighted),,
United States,6/18/16,US,2016,24,45-64 years,9936,2015-2019,Predicted (weighted),,
United States,6/18/16,US,2016,24,65-74 years,9514,2015-2019,Predicted (weighted),,
United States,6/18/16,US,2016,24,75-84 years,11348,2015-2019,Predicted (weighted),,
United States,6/18/16,US,2016,24,85 years and older,15261,2015-2019,Predicted (weighted),,
United States,6/18/16,US,2016,24,Under 25 years,1359,2015-2019,Predicted (weighted),,
United States,6/25/16,US,2016,25,25-44 years,2662,2015-2019,Predicted (weighted),,
United States,6/25/16,US,2016,25,45-64 years,9948,2015-2019,Predicted (weighted),,
United States,6/25/16,US,2016,25,65-74 years,9342,2015-2019,Predicted (weighted),,
United States,6/25/16,US,2016,25,75-84 years,11576,2015-2019,Predicted (weighted),,
United States,6/25/16,US,2016,25,85 years and older,14968,2015-2019,Predicted (weighted),,
United States,6/25/16,US,2016,25,Under 25 years,1222,2015-2019,Predicted (weighted),,
United States,7/2/16,US,2016,26,25-44 years,2603,2015-2019,Predicted (weighted),,
United States,7/2/16,US,2016,26,45-64 years,10007,2015-2019,Predicted (weighted),,
United States,7/2/16,US,2016,26,65-74 years,9255,2015-2019,Predicted (weighted),,
United States,7/2/16,US,2016,26,75-84 years,11568,2015-2019,Predicted (weighted),,
United States,7/2/16,US,2016,26,85 years and older,15129,2015-2019,Predicted (weighted),,
United States,7/2/16,US,2016,26,Under 25 years,1282,2015-2019,Predicted (weighted),,
United States,7/9/16,US,2016,27,25-44 years,2744,2015-2019,Predicted (weighted),,
United States,7/9/16,US,2016,27,45-64 years,10207,2015-2019,Predicted (weighted),,
United States,7/9/16,US,2016,27,65-74 years,9363,2015-2019,Predicted (weighted),,
United States,7/9/16,US,2016,27,75-84 years,11292,2015-2019,Predicted (weighted),,
United States,7/9/16,US,2016,27,85 years and older,14968,2015-2019,Predicted (weighted),,
United States,7/9/16,US,2016,27,Under 25 years,1216,2015-2019,Predicted (weighted),,
United States,7/16/16,US,2016,28,25-44 years,2735,2015-2019,Predicted (weighted),,
United States,7/16/16,US,2016,28,45-64 years,9942,2015-2019,Predicted (weighted),,
United States,7/16/16,US,2016,28,65-74 years,9290,2015-2019,Predicted (weighted),,
United States,7/16/16,US,2016,28,75-84 years,11424,2015-2019,Predicted (weighted),,
United States,7/16/16,US,2016,28,85 years and older,15075,2015-2019,Predicted (weighted),,
United States,7/16/16,US,2016,28,Under 25 years,1264,2015-2019,Predicted (weighted),,
United States,7/23/16,US,2016,29,25-44 years,2689,2015-2019,Predicted (weighted),,
United States,7/23/16,US,2016,29,45-64 years,9991,2015-2019,Predicted (weighted),,
United States,7/23/16,US,2016,29,65-74 years,9199,2015-2019,Predicted (weighted),,
United States,7/23/16,US,2016,29,75-84 years,11377,2015-2019,Predicted (weighted),,
United States,7/23/16,US,2016,29,85 years and older,14794,2015-2019,Predicted (weighted),,
United States,7/23/16,US,2016,29,Under 25 years,1334,2015-2019,Predicted (weighted),,
United States,7/30/16,US,2016,30,25-44 years,2572,2015-2019,Predicted (weighted),,
United States,7/30/16,US,2016,30,45-64 years,10141,2015-2019,Predicted (weighted),,
United States,7/30/16,US,2016,30,65-74 years,9484,2015-2019,Predicted (weighted),,
United States,7/30/16,US,2016,30,75-84 years,11429,2015-2019,Predicted (weighted),,
United States,7/30/16,US,2016,30,85 years and older,14861,2015-2019,Predicted (weighted),,
United States,7/30/16,US,2016,30,Under 25 years,1311,2015-2019,Predicted (weighted),,
United States,8/6/16,US,2016,31,25-44 years,2746,2015-2019,Predicted (weighted),,
United States,8/6/16,US,2016,31,45-64 years,10093,2015-2019,Predicted (weighted),,
United States,8/6/16,US,2016,31,65-74 years,9468,2015-2019,Predicted (weighted),,
United States,8/6/16,US,2016,31,75-84 years,11293,2015-2019,Predicted (weighted),,
United States,8/6/16,US,2016,31,85 years and older,14770,2015-2019,Predicted (weighted),,
United States,8/6/16,US,2016,31,Under 25 years,1265,2015-2019,Predicted (weighted),,
United States,8/13/16,US,2016,32,25-44 years,2672,2015-2019,Predicted (weighted),,
United States,8/13/16,US,2016,32,45-64 years,10101,2015-2019,Predicted (weighted),,
United States,8/13/16,US,2016,32,65-74 years,9386,2015-2019,Predicted (weighted),,
United States,8/13/16,US,2016,32,75-84 years,11508,2015-2019,Predicted (weighted),,
United States,8/13/16,US,2016,32,85 years and older,14845,2015-2019,Predicted (weighted),,
United States,8/13/16,US,2016,32,Under 25 years,1318,2015-2019,Predicted (weighted),,
United States,8/20/16,US,2016,33,25-44 years,2578,2015-2019,Predicted (weighted),,
United States,8/20/16,US,2016,33,45-64 years,9875,2015-2019,Predicted (weighted),,
United States,8/20/16,US,2016,33,65-74 years,9514,2015-2019,Predicted (weighted),,
United States,8/20/16,US,2016,33,75-84 years,11573,2015-2019,Predicted (weighted),,
United States,8/20/16,US,2016,33,85 years and older,15102,2015-2019,Predicted (weighted),,
United States,8/20/16,US,2016,33,Under 25 years,1277,2015-2019,Predicted (weighted),,
United States,8/27/16,US,2016,34,25-44 years,2647,2015-2019,Predicted (weighted),,
United States,8/27/16,US,2016,34,45-64 years,9823,2015-2019,Predicted (weighted),,
United States,8/27/16,US,2016,34,65-74 years,9357,2015-2019,Predicted (weighted),,
United States,8/27/16,US,2016,34,75-84 years,11354,2015-2019,Predicted (weighted),,
United States,8/27/16,US,2016,34,85 years and older,15044,2015-2019,Predicted (weighted),,
United States,8/27/16,US,2016,34,Under 25 years,1373,2015-2019,Predicted (weighted),,
United States,9/3/16,US,2016,35,25-44 years,2700,2015-2019,Predicted (weighted),,
United States,9/3/16,US,2016,35,45-64 years,9930,2015-2019,Predicted (weighted),,
United States,9/3/16,US,2016,35,65-74 years,9402,2015-2019,Predicted (weighted),,
United States,9/3/16,US,2016,35,75-84 years,11567,2015-2019,Predicted (weighted),,
United States,9/3/16,US,2016,35,85 years and older,14899,2015-2019,Predicted (weighted),,
United States,9/3/16,US,2016,35,Under 25 years,1200,2015-2019,Predicted (weighted),,
United States,9/10/16,US,2016,36,25-44 years,2690,2015-2019,Predicted (weighted),,
United States,9/10/16,US,2016,36,45-64 years,10279,2015-2019,Predicted (weighted),,
United States,9/10/16,US,2016,36,65-74 years,9305,2015-2019,Predicted (weighted),,
United States,9/10/16,US,2016,36,75-84 years,11607,2015-2019,Predicted (weighted),,
United States,9/10/16,US,2016,36,85 years and older,15049,2015-2019,Predicted (weighted),,
United States,9/10/16,US,2016,36,Under 25 years,1261,2015-2019,Predicted (weighted),,
United States,9/17/16,US,2016,37,25-44 years,2567,2015-2019,Predicted (weighted),,
United States,9/17/16,US,2016,37,45-64 years,9915,2015-2019,Predicted (weighted),,
United States,9/17/16,US,2016,37,65-74 years,9366,2015-2019,Predicted (weighted),,
United States,9/17/16,US,2016,37,75-84 years,11459,2015-2019,Predicted (weighted),,
United States,9/17/16,US,2016,37,85 years and older,15414,2015-2019,Predicted (weighted),,
United States,9/17/16,US,2016,37,Under 25 years,1308,2015-2019,Predicted (weighted),,
United States,9/24/16,US,2016,38,25-44 years,2504,2015-2019,Predicted (weighted),,
United States,9/24/16,US,2016,38,45-64 years,9873,2015-2019,Predicted (weighted),,
United States,9/24/16,US,2016,38,65-74 years,9418,2015-2019,Predicted (weighted),,
United States,9/24/16,US,2016,38,75-84 years,11382,2015-2019,Predicted (weighted),,
United States,9/24/16,US,2016,38,85 years and older,15548,2015-2019,Predicted (weighted),,
United States,9/24/16,US,2016,38,Under 25 years,1252,2015-2019,Predicted (weighted),,
United States,10/1/16,US,2016,39,25-44 years,2645,2015-2019,Predicted (weighted),,
United States,10/1/16,US,2016,39,45-64 years,10023,2015-2019,Predicted (weighted),,
United States,10/1/16,US,2016,39,65-74 years,9283,2015-2019,Predicted (weighted),,
United States,10/1/16,US,2016,39,75-84 years,11517,2015-2019,Predicted (weighted),,
United States,10/1/16,US,2016,39,85 years and older,15694,2015-2019,Predicted (weighted),,
United States,10/1/16,US,2016,39,Under 25 years,1202,2015-2019,Predicted (weighted),,
United States,10/8/16,US,2016,40,25-44 years,2805,2015-2019,Predicted (weighted),,
United States,10/8/16,US,2016,40,45-64 years,10399,2015-2019,Predicted (weighted),,
United States,10/8/16,US,2016,40,65-74 years,9552,2015-2019,Predicted (weighted),,
United States,10/8/16,US,2016,40,75-84 years,11820,2015-2019,Predicted (weighted),,
United States,10/8/16,US,2016,40,85 years and older,15676,2015-2019,Predicted (weighted),,
United States,10/8/16,US,2016,40,Under 25 years,1270,2015-2019,Predicted (weighted),,
United States,10/15/16,US,2016,41,25-44 years,2637,2015-2019,Predicted (weighted),,
United States,10/15/16,US,2016,41,45-64 years,10232,2015-2019,Predicted (weighted),,
United States,10/15/16,US,2016,41,65-74 years,9681,2015-2019,Predicted (weighted),,
United States,10/15/16,US,2016,41,75-84 years,12150,2015-2019,Predicted (weighted),,
United States,10/15/16,US,2016,41,85 years and older,16315,2015-2019,Predicted (weighted),,
United States,10/15/16,US,2016,41,Under 25 years,1222,2015-2019,Predicted (weighted),,
United States,10/22/16,US,2016,42,25-44 years,2623,2015-2019,Predicted (weighted),,
United States,10/22/16,US,2016,42,45-64 years,10008,2015-2019,Predicted (weighted),,
United States,10/22/16,US,2016,42,65-74 years,9582,2015-2019,Predicted (weighted),,
United States,10/22/16,US,2016,42,75-84 years,11973,2015-2019,Predicted (weighted),,
United States,10/22/16,US,2016,42,85 years and older,16119,2015-2019,Predicted (weighted),,
United States,10/22/16,US,2016,42,Under 25 years,1254,2015-2019,Predicted (weighted),,
United States,10/29/16,US,2016,43,25-44 years,2618,2015-2019,Predicted (weighted),,
United States,10/29/16,US,2016,43,45-64 years,10056,2015-2019,Predicted (weighted),,
United States,10/29/16,US,2016,43,65-74 years,9743,2015-2019,Predicted (weighted),,
United States,10/29/16,US,2016,43,75-84 years,12129,2015-2019,Predicted (weighted),,
United States,10/29/16,US,2016,43,85 years and older,16134,2015-2019,Predicted (weighted),,
United States,10/29/16,US,2016,43,Under 25 years,1283,2015-2019,Predicted (weighted),,
United States,11/5/16,US,2016,44,25-44 years,2700,2015-2019,Predicted (weighted),,
United States,11/5/16,US,2016,44,45-64 years,10050,2015-2019,Predicted (weighted),,
United States,11/5/16,US,2016,44,65-74 years,9669,2015-2019,Predicted (weighted),,
United States,11/5/16,US,2016,44,75-84 years,12052,2015-2019,Predicted (weighted),,
United States,11/5/16,US,2016,44,85 years and older,16158,2015-2019,Predicted (weighted),,
United States,11/5/16,US,2016,44,Under 25 years,1233,2015-2019,Predicted (weighted),,
United States,11/12/16,US,2016,45,25-44 years,2610,2015-2019,Predicted (weighted),,
United States,11/12/16,US,2016,45,45-64 years,10338,2015-2019,Predicted (weighted),,
United States,11/12/16,US,2016,45,65-74 years,9750,2015-2019,Predicted (weighted),,
United States,11/12/16,US,2016,45,75-84 years,12178,2015-2019,Predicted (weighted),,
United States,11/12/16,US,2016,45,85 years and older,16529,2015-2019,Predicted (weighted),,
United States,11/12/16,US,2016,45,Under 25 years,1227,2015-2019,Predicted (weighted),,
United States,11/19/16,US,2016,46,25-44 years,2597,2015-2019,Predicted (weighted),,
United States,11/19/16,US,2016,46,45-64 years,10408,2015-2019,Predicted (weighted),,
United States,11/19/16,US,2016,46,65-74 years,10040,2015-2019,Predicted (weighted),,
United States,11/19/16,US,2016,46,75-84 years,12399,2015-2019,Predicted (weighted),,
United States,11/19/16,US,2016,46,85 years and older,16886,2015-2019,Predicted (weighted),,
United States,11/19/16,US,2016,46,Under 25 years,1225,2015-2019,Predicted (weighted),,
United States,11/26/16,US,2016,47,25-44 years,2624,2015-2019,Predicted (weighted),,
United States,11/26/16,US,2016,47,45-64 years,10331,2015-2019,Predicted (weighted),,
United States,11/26/16,US,2016,47,65-74 years,9820,2015-2019,Predicted (weighted),,
United States,11/26/16,US,2016,47,75-84 years,12345,2015-2019,Predicted (weighted),,
United States,11/26/16,US,2016,47,85 years and older,16805,2015-2019,Predicted (weighted),,
United States,11/26/16,US,2016,47,Under 25 years,1297,2015-2019,Predicted (weighted),,
United States,12/3/16,US,2016,48,25-44 years,2715,2015-2019,Predicted (weighted),,
United States,12/3/16,US,2016,48,45-64 years,10618,2015-2019,Predicted (weighted),,
United States,12/3/16,US,2016,48,65-74 years,10221,2015-2019,Predicted (weighted),,
United States,12/3/16,US,2016,48,75-84 years,12590,2015-2019,Predicted (weighted),,
United States,12/3/16,US,2016,48,85 years and older,17134,2015-2019,Predicted (weighted),,
United States,12/3/16,US,2016,48,Under 25 years,1332,2015-2019,Predicted (weighted),,
United States,12/10/16,US,2016,49,25-44 years,2700,2015-2019,Predicted (weighted),,
United States,12/10/16,US,2016,49,45-64 years,10617,2015-2019,Predicted (weighted),,
United States,12/10/16,US,2016,49,65-74 years,10408,2015-2019,Predicted (weighted),,
United States,12/10/16,US,2016,49,75-84 years,12811,2015-2019,Predicted (weighted),,
United States,12/10/16,US,2016,49,85 years and older,17500,2015-2019,Predicted (weighted),,
United States,12/10/16,US,2016,49,Under 25 years,1204,2015-2019,Predicted (weighted),,
United States,12/17/16,US,2016,50,25-44 years,2662,2015-2019,Predicted (weighted),,
United States,12/17/16,US,2016,50,45-64 years,10776,2015-2019,Predicted (weighted),,
United States,12/17/16,US,2016,50,65-74 years,10663,2015-2019,Predicted (weighted),,
United States,12/17/16,US,2016,50,75-84 years,12938,2015-2019,Predicted (weighted),,
United States,12/17/16,US,2016,50,85 years and older,17813,2015-2019,Predicted (weighted),,
United States,12/17/16,US,2016,50,Under 25 years,1248,2015-2019,Predicted (weighted),,
United States,12/24/16,US,2016,51,25-44 years,2666,2015-2019,Predicted (weighted),,
United States,12/24/16,US,2016,51,45-64 years,10841,2015-2019,Predicted (weighted),,
United States,12/24/16,US,2016,51,65-74 years,10647,2015-2019,Predicted (weighted),,
United States,12/24/16,US,2016,51,75-84 years,13328,2015-2019,Predicted (weighted),,
United States,12/24/16,US,2016,51,85 years and older,18085,2015-2019,Predicted (weighted),,
United States,12/24/16,US,2016,51,Under 25 years,1242,2015-2019,Predicted (weighted),,
United States,12/31/16,US,2016,52,25-44 years,2734,2015-2019,Predicted (weighted),,
United States,12/31/16,US,2016,52,45-64 years,10946,2015-2019,Predicted (weighted),,
United States,12/31/16,US,2016,52,65-74 years,10658,2015-2019,Predicted (weighted),,
United States,12/31/16,US,2016,52,75-84 years,13549,2015-2019,Predicted (weighted),,
United States,12/31/16,US,2016,52,85 years and older,18704,2015-2019,Predicted (weighted),,
United States,12/31/16,US,2016,52,Under 25 years,1191,2015-2019,Predicted (weighted),,
United States,1/7/17,US,2017,1,25-44 years,2841,2015-2019,Predicted (weighted),,
United States,1/7/17,US,2017,1,45-64 years,11340,2015-2019,Predicted (weighted),,
United States,1/7/17,US,2017,1,65-74 years,11095,2015-2019,Predicted (weighted),,
United States,1/7/17,US,2017,1,75-84 years,14030,2015-2019,Predicted (weighted),,
United States,1/7/17,US,2017,1,85 years and older,19318,2015-2019,Predicted (weighted),,
United States,1/7/17,US,2017,1,Under 25 years,1266,2015-2019,Predicted (weighted),,
United States,1/14/17,US,2017,2,25-44 years,2732,2015-2019,Predicted (weighted),,
United States,1/14/17,US,2017,2,45-64 years,11430,2015-2019,Predicted (weighted),,
United States,1/14/17,US,2017,2,65-74 years,11424,2015-2019,Predicted (weighted),,
United States,1/14/17,US,2017,2,75-84 years,14183,2015-2019,Predicted (weighted),,
United States,1/14/17,US,2017,2,85 years and older,20113,2015-2019,Predicted (weighted),,
United States,1/14/17,US,2017,2,Under 25 years,1226,2015-2019,Predicted (weighted),,
United States,1/21/17,US,2017,3,25-44 years,2828,2015-2019,Predicted (weighted),,
United States,1/21/17,US,2017,3,45-64 years,10893,2015-2019,Predicted (weighted),,
United States,1/21/17,US,2017,3,65-74 years,10916,2015-2019,Predicted (weighted),,
United States,1/21/17,US,2017,3,75-84 years,14051,2015-2019,Predicted (weighted),,
United States,1/21/17,US,2017,3,85 years and older,19523,2015-2019,Predicted (weighted),,
United States,1/21/17,US,2017,3,Under 25 years,1223,2015-2019,Predicted (weighted),,
United States,1/28/17,US,2017,4,25-44 years,2692,2015-2019,Predicted (weighted),,
United States,1/28/17,US,2017,4,45-64 years,10631,2015-2019,Predicted (weighted),,
United States,1/28/17,US,2017,4,65-74 years,10792,2015-2019,Predicted (weighted),,
United States,1/28/17,US,2017,4,75-84 years,13745,2015-2019,Predicted (weighted),,
United States,1/28/17,US,2017,4,85 years and older,19162,2015-2019,Predicted (weighted),,
United States,1/28/17,US,2017,4,Under 25 years,1162,2015-2019,Predicted (weighted),,
United States,2/4/17,US,2017,5,25-44 years,2599,2015-2019,Predicted (weighted),,
United States,2/4/17,US,2017,5,45-64 years,10906,2015-2019,Predicted (weighted),,
United States,2/4/17,US,2017,5,65-74 years,10797,2015-2019,Predicted (weighted),,
United States,2/4/17,US,2017,5,75-84 years,13785,2015-2019,Predicted (weighted),,
United States,2/4/17,US,2017,5,85 years and older,19262,2015-2019,Predicted (weighted),,
United States,2/4/17,US,2017,5,Under 25 years,1181,2015-2019,Predicted (weighted),,
United States,2/11/17,US,2017,6,25-44 years,2744,2015-2019,Predicted (weighted),,
United States,2/11/17,US,2017,6,45-64 years,11142,2015-2019,Predicted (weighted),,
United States,2/11/17,US,2017,6,65-74 years,11081,2015-2019,Predicted (weighted),,
United States,2/11/17,US,2017,6,75-84 years,13831,2015-2019,Predicted (weighted),,
United States,2/11/17,US,2017,6,85 years and older,19145,2015-2019,Predicted (weighted),,
