Observed Number,Upper Bound Threshold,Day of Week-ending Date,Average Expected Number of Deaths,Flag,Note,Observed Number,Percent Excess Over Expected,Percent Excess Over Upper Bound,State,Total Number of Excess Deaths Over Upper Bound,Upper Bound Threshold
,"55,383","October 6, 2018","52,895",,  ,"52,486",0.0,0.0,United States,"156,354",
,"55,696","October 13, 2018","53,215",,  ,"51,972",0.0,0.0,United States,"156,354",
,"56,186","October 20, 2018","53,610",,  ,"53,113",0.0,0.0,United States,"156,354",
,"56,298","October 27, 2018","53,871",,  ,"53,892",0.0,0.0,United States,"156,354",
,"56,498","November 3, 2018","53,976",,  ,"53,784",0.0,0.0,United States,"156,354",
,"57,108","November 10, 2018","54,540",,  ,"53,692",0.0,0.0,United States,"156,354",
,"57,377","November 17, 2018","54,828",,  ,"54,820",0.0,0.0,United States,"156,354",
,"57,838","November 24, 2018","55,306",,  ,"54,981",0.0,0.0,United States,"156,354",
,"58,497","December 1, 2018","55,960",,  ,"55,210",0.0,0.0,United States,"156,354",
,"59,057","December 8, 2018","56,448",,  ,"56,095",0.0,0.0,United States,"156,354",
,"59,885","December 15, 2018","57,278",,  ,"56,530",0.0,0.0,United States,"156,354",
,"60,869","December 22, 2018","58,256",,  ,"56,671",0.0,0.0,United States,"156,354",
,"61,846","December 29, 2018","59,288",,  ,"56,180",0.0,0.0,United States,"156,354",
,"62,598","January 5, 2019","59,943",,  ,"58,462",0.0,0.0,United States,"156,354",
,"64,022","January 12, 2019","61,260",,  ,"58,506",0.0,0.0,United States,"156,354",
,"64,199","January 19, 2019","61,540",,  ,"58,351",0.0,0.0,United States,"156,354",
,"64,215","January 26, 2019","61,606",,  ,"58,042",0.0,0.0,United States,"156,354",
,"63,294","February 2, 2019","60,830",,  ,"58,276",0.0,0.0,United States,"156,354",
,"63,160","February 9, 2019","60,636",,  ,"58,650",0.0,0.0,United States,"156,354",
,"62,624","February 16, 2019","60,119",,  ,"58,116",0.0,0.0,United States,"156,354",
,"62,228","February 23, 2019","59,801",,  ,"58,141",0.0,0.0,United States,"156,354",
,"61,685","March 2, 2019","59,341",,  ,"58,071",0.0,0.0,United States,"156,354",
,"61,160","March 9, 2019","58,869",,  ,"58,664",0.0,0.0,United States,"156,354",
,"60,697","March 16, 2019","58,369",,  ,"58,033",0.0,0.0,United States,"156,354",
,"60,230","March 23, 2019","57,928",,  ,"57,214",0.0,0.0,United States,"156,354",
,"59,579","March 30, 2019","57,398",,  ,"56,773",0.0,0.0,United States,"156,354",
,"59,191","April 6, 2019","56,925",,  ,"56,710",0.0,0.0,United States,"156,354",
,"58,522","April 13, 2019","56,293",,  ,"55,641",0.0,0.0,United States,"156,354",
,"57,960","April 20, 2019","55,779",,  ,"54,584",0.0,0.0,United States,"156,354",
,"57,406","April 27, 2019","55,233",,  ,"53,767",0.0,0.0,United States,"156,354",
,"56,675","May 4, 2019","54,609",,  ,"54,118",0.0,0.0,United States,"156,354",
,"56,256","May 11, 2019","54,073",,  ,"53,611",0.0,0.0,United States,"156,354",
,"55,819","May 18, 2019","53,639",,  ,"53,676",0.1,0.0,United States,"156,354",
,"55,391","May 25, 2019","53,280",,  ,"53,822",1.0,0.0,United States,"156,354",
,"55,189","June 1, 2019","53,076",,  ,"52,856",0.0,0.0,United States,"156,354",
,"54,944","June 8, 2019","52,930",,  ,"53,292",0.7,0.0,United States,"156,354",
,"55,037","June 15, 2019","52,878",,  ,"52,790",0.0,0.0,United States,"156,354",
,"55,033","June 22, 2019","52,860",,  ,"52,418",0.0,0.0,United States,"156,354",
,"54,846","June 29, 2019","52,700",,  ,"52,320",0.0,0.0,United States,"156,354",
,"54,701","July 6, 2019","52,524",,  ,"52,498",0.0,0.0,United States,"156,354",
,"54,305","July 13, 2019","52,343",,  ,"52,070",0.0,0.0,United States,"156,354",
,"54,388","July 20, 2019","52,241",,  ,"51,788",0.0,0.0,United States,"156,354",
,"54,342","July 27, 2019","52,082",,  ,"51,800",0.0,0.0,United States,"156,354",
,"54,211","August 3, 2019","51,978",,  ,"51,554",0.0,0.0,United States,"156,354",
,"54,101","August 10, 2019","51,882",,  ,"51,849",0.0,0.0,United States,"156,354",
,"54,102","August 17, 2019","51,964",,  ,"51,128",0.0,0.0,United States,"156,354",
,"54,242","August 24, 2019","52,013",,  ,"51,141",0.0,0.0,United States,"156,354",
,"54,499","August 31, 2019","52,157",,  ,"51,284",0.0,0.0,United States,"156,354",
,"54,638","September 7, 2019","52,298",,  ,"51,953",0.0,0.0,United States,"156,354",
,"54,866","September 14, 2019","52,525",,  ,"51,751",0.0,0.0,United States,"156,354",
,"54,975","September 21, 2019","52,760",,  ,"51,905",0.0,0.0,United States,"156,354",
,"55,342","September 28, 2019","53,131",,  ,"52,869",0.0,0.0,United States,"156,354",
,"55,711","October 5, 2019","53,403",,  ,"52,679",0.0,0.0,United States,"156,354",
,"56,076","October 12, 2019","53,729",,  ,"53,217",0.0,0.0,United States,"156,354",
,"56,618","October 19, 2019","54,148",,  ,"54,435",0.5,0.0,United States,"156,354",
,"56,708","October 26, 2019","54,373",,  ,"54,155",0.0,0.0,United States,"156,354",
,"56,915","November 2, 2019","54,646",,  ,"54,206",0.0,0.0,United States,"156,354",
,"57,276","November 9, 2019","55,025",,  ,"55,814",1.4,0.0,United States,"156,354",
,"57,813","November 16, 2019","55,352",,  ,"56,030",1.2,0.0,United States,"156,354",
,"58,153","November 23, 2019","55,784",,  ,"56,313",0.9,0.0,United States,"156,354",
,"58,968","November 30, 2019","56,497",,  ,"55,591",0.0,0.0,United States,"156,354",
,"59,247","December 7, 2019","56,856",,  ,"57,432",1.0,0.0,United States,"156,354",
,"59,898","December 14, 2019","57,522",,  ,"57,772",0.4,0.0,United States,"156,354",
,"60,455","December 21, 2019","58,111",,  ,"57,575",0.0,0.0,United States,"156,354",
,"61,536","December 28, 2019","59,081",,  ,"58,613",0.0,0.0,United States,"156,354",
,"61,900","January 4, 2020","59,477",,  ,"60,103",1.1,0.0,United States,"156,354",
,"62,496","January 11, 2020","59,992",,  ,"60,654",1.1,0.0,United States,"156,354",
,"62,541","January 18, 2020","60,228",,  ,"59,281",0.0,0.0,United States,"156,354",
,"62,606","January 25, 2020","60,344",,  ,"59,025",0.0,0.0,United States,"156,354",
,"62,066","February 1, 2020","59,899",,  ,"58,626",0.0,0.0,United States,"156,354",
,"61,896","February 8, 2020","59,744",,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction.  ","59,254",0.0,0.0,United States,"156,354",
,"61,731","February 15, 2020","59,552",,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction.  ","58,888",0.0,0.0,United States,"156,354",
,"61,380","February 22, 2020","59,274",,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction.  ","59,020",0.0,0.0,United States,"156,354",
,"60,939","February 29, 2020","58,858",,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction.  ","59,373",0.9,0.0,United States,"156,354",
,"60,657","March 7, 2020","58,567",,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction.  ","59,555",1.7,0.0,United States,"156,354",
,"60,268","March 14, 2020","58,197",,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction.  ","58,312",0.2,0.0,United States,"156,354",
,"59,939","March 21, 2020","57,832",,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction.  ","59,075",2.1,0.0,United States,"156,354",
,"59,383","March 28, 2020","57,361",,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction.  ","63,163",10.1,6.4,United States,"156,354",
,"58,725","April 4, 2020","56,809",,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction.  ","72,502",27.6,23.5,United States,"156,354",
,"58,258","April 11, 2020","56,258",,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction.  ","79,493",41.3,36.4,United States,"156,354",
,"57,625","April 18, 2020","55,683",,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction.  ","77,343",38.9,34.2,United States,"156,354",
,"57,044","April 25, 2020","55,077",,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction.  ","74,437",35.2,30.5,United States,"156,354",
,"56,380","May 2, 2020","54,420",,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction.  ","69,826",28.3,23.8,United States,"156,354",
,"55,804","May 9, 2020","53,949",,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction.  ","67,339",24.8,20.7,United States,"156,354",
,"55,516","May 16, 2020","53,564",,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction.  ","65,047",21.4,17.2,United States,"156,354",
,"55,131","May 23, 2020","53,254",,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction.  ","62,119",16.6,12.7,United States,"156,354",
,"54,954","May 30, 2020","53,053",,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction.  ","60,218",13.5,9.6,United States,"156,354",
,"54,754","June 6, 2020","52,889",,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction.  ","59,414",12.3,8.5,United States,"156,354",
,"54,545","June 13, 2020","52,710",,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction.  ","58,552",11.1,7.3,United States,"156,354",
,"54,640","June 20, 2020","52,669",,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction.  ","58,387",10.9,6.9,United States,"156,354",
,"54,411","June 27, 2020","52,513",,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction.  ","57,304",9.1,5.3,United States,"156,354",
,"54,255","July 4, 2020","52,330",,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction.  ","57,792",10.4,6.5,United States,"156,354",
,"54,131","July 11, 2020","52,204",,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction.  ","59,803",14.6,10.5,United States,"156,354",
,"53,922","July 18, 2020","52,076",,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction.  ","60,510",16.2,12.2,United States,"156,354",
,"53,910","July 25, 2020","51,912",,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction.  ","56,493",8.8,4.8,United States,"156,354",
